Date,RIC,Price Target - Mean,Recommendation - Mean (1-5),Revenue - Mean
2017-05-12,VEND.OL,,2.0,
2017-05-18,VEND.OL,312.0,,
2017-05-18,VEND.OL,312.0,,19205000000
2017-08-03,PLUSP.L,,1.5,
2017-10-13,INDUc.ST,,,2925000000
2017-10-19,GAW.L,2400,,
2017-12-04,GBLB.BR,,,4973974000
2017-12-18,BCVN.S,,3.0,
2017-12-20,HLMA.L,,2.57143,
2018-01-09,GAW.L,,3,
2018-01-11,LGEN.L,,,8168800000
2018-01-17,BYG.L,,,110864110
2018-01-19,KYGa.I,,2.46667,
2018-01-22,ASRNL.AS,,2.55556,
2018-02-01,AAK.ST,,2.83333,
2018-02-06,AAK.ST,123.33358,,
2018-02-08,WALLb.ST,,3.16667,
2018-02-09,WALLb.ST,,,1858000000
2018-02-09,INDUc.ST,210.66667,3.33333,
2018-02-09,WALLb.ST,36.25,,1858000000
2018-02-12,GAW.L,,,211400000
2018-02-13,SSE.L,,2.125,
2018-02-14,PLUSP.L,1523.5,,555450000
2018-02-15,TKAG.DE,,2.2,
2018-02-19,BCVN.S,71.1,,
2018-02-22,GALP.LS,,2.68182,
2018-02-23,KYGa.I,88.60417,,6527614390
2018-02-23,OREP.PA,,2.76667,
2018-02-23,KYGa.I,88.60417,,
2018-02-26,BAWG.VI,,,1041298880
2018-02-26,EDP.LS,2.94425,,
2018-02-27,DRX.L,345.41667,,3736912670
2018-02-28,SUBC.OL,,2.61539,
2018-03-01,ICAG.L,,2.07692,
2018-03-01,SSE.L,,,30120857690
2018-03-02,AAK.ST,,,27722500000
2018-03-02,GBLB.BR,,2.625,
2018-03-02,SDR.L,,2.57895,
2018-03-02,SSE.L,1481.07143,,
2018-03-05,DRX.L,,2.58333,
2018-03-05,GALP.LS,16.38955,,17337347170
2018-03-05,INWT.MI,,2.72222,
2018-03-05,GALP.LS,,,17337347170
2018-03-06,BAWG.VI,,2.09091,
2018-03-07,DANSKE.CO,,2.125,
2018-03-07,EDP.LS,,,13936574500
2018-03-07,TKAG.DE,28.53158,,
2018-03-08,RR.L,,3.14286,
2018-03-09,RR.L,,,14833648140
2018-03-12,REP.MC,,2.51429,
2018-03-13,BYG.L,854.53846,,
2018-03-13,INWT.MI,6.27211,,375616250
2018-03-13,INWT.MI,6.27211,,
2018-03-14,BKWB.S,,2.25,
2018-03-14,BYG.L,,2.92308,
2018-03-14,DANSKE.CO,278.5,,
2018-03-14,EDP.LS,,2.85714,
2018-03-14,VOWG_p.DE,193.96296,,
2018-03-15,AM.PA,,2.36364,
2018-03-15,BCVN.S,,,988782000
2018-03-15,EXHO.PA,,,20933596350
2018-03-15,ICAG.L,489.11039,,
2018-03-16,AM.PA,151.9,,
2018-03-16,SAMPO.HE,9.738,,
2018-03-16,AM.PA,151.9,,4831799820
2018-03-16,BKGH.L,,,2731079690
2018-03-16,EXHO.PA,109.40909,2.76,
2018-03-16,SAMPO.HE,9.738,2.65,
2018-03-16,SDR.L,632.03319,,
2018-03-18,ICAG.L,,,24070740350
2018-03-18,SUBC.OL,135.22525,,3888201890
2018-03-18,ULVR.L,,2.33333,
2018-03-19,LHAG.DE,,2.54167,
2018-03-19,MBGn.DE,79.33333,,
2018-03-19,NG.L,,2.26316,
2018-03-19,ANTO.L,934.62912,,
2018-03-19,LHAG.DE,21.38607,2.54167,
2018-03-19,MBGn.DE,79.33333,2.6,
2018-03-19,NG.L,872.00326,2.26316,15061963620
2018-03-20,BKWB.S,66.66667,,
2018-03-20,DANSKE.CO,,,49398040210
2018-03-20,GFCP.PA,,2.35294,
2018-03-20,MBGn.DE,,,170112679330
2018-03-20,TKAG.DE,,,42524119320
2018-03-21,ANTO.L,,2.81818,5010151050
2018-03-21,GBLB.BR,95.14286,,
2018-03-21,GFCP.PA,151.22976,,697701270
2018-03-21,SDR.L,,,2173828940
2018-03-21,ULVR.L,5000.97656,,52680003170
2018-03-21,GFCP.PA,,,697701270
2018-03-21,ULVR.L,5000.97656,,
2018-03-22,BAWG.VI,50.8,,
2018-03-22,NSISb.CO,307.47059,,
2018-03-22,ASRNL.AS,36.62444,,4287705800
2018-03-22,BAWG.VI,50.8,,1197557750
2018-03-22,HLMA.L,1255.78571,,
2018-03-22,LHAG.DE,,,38019108820
2018-03-22,NSISb.CO,307.47059,3.44444,
2018-03-22,SASY.PA,79.80383,,
2018-03-23,REP.MC,,,48620162140
2018-03-23,BKWB.S,,,2616087500
2018-03-23,HLMA.L,,,1048954930
2018-03-23,REP.MC,13.95166,,48620162140
2018-03-23,RR.L,315.23794,,
2018-03-23,SASY.PA,,2.44444,
2018-03-23,VOWG_p.DE,,,239579924580
2018-03-24,RAND.AS,60.75,2.52941,
2018-03-24,TUI1n.DE,,2.07143,19241129230
2018-03-24,RAND.AS,60.75,,
2018-03-24,TUI1n.DE,,2.07143,
