Date,RIC,Earnings Per Share - Mean,Earnings Per Share - Standard Deviation,Earnings Per Share - Predicted Surprise PCT,Earnings Per Share - SmartEstimate®
2017-12-04,GBLB.BR,3.379,0.69867,,
2017-12-20,MWDP.PA1,2.04833,1.95634,,
2017-12-20,MWDP.PA1,4.0835,0.1635,0.64,4.10964
2018-02-06,AAK.ST,5.10084,0.08347,0.05,5.10338
2018-02-15,ITPG.MI,1.281,0.07186,,
2018-02-16,HIAB.HE,3.04008,0.24843,-2.702,2.95795
2018-02-16,ITPG.MI,,,-3.236,1.23955
2018-02-26,URW.PA,12.739,0.33567,,
2018-02-27,TUI1n.DE,3.55676,0.17632,2.306,3.63873
2018-03-01,ASRNL.AS,3.86194,0.62359,3.56,3.99941
2018-03-02,ELI.BR,3.40628,0.09597,-1.291,3.3623
2018-03-02,EMSN.S,21.98025,0.37953,0.2,22.02429
2018-03-02,SAF.PA,4.35745,0.28818,-1.514,4.29146
2018-03-02,SSE.L,1.16246,0.0160688,,
2018-03-06,URW.PA,,,-0.085,12.72812
2018-03-07,MONC.MI,1.09111,0.05906,1.661,1.10923
2018-03-08,BMPS.MI,2.53524,1.74927,-21.541,1.9891
2018-03-09,RR.L,0.0931991,0.0472483,,
2018-03-10,RR.L,,,-48.859,0.0476634
2018-03-11,GBLB.BR,,,-18.585,2.751
2018-03-12,BIRG.I,0.62889,0.0632,1.237,0.63667
2018-03-12,NSISb.CO,1.47267,0.06853,-1.012,1.45777
2018-03-13,TEPRF.PA1,6.47608,0.38327,,
2018-03-13,CPG.L,1.05897,0.01269,-0.076,1.05817
2018-03-13,TEPRF.PA1,6.47608,0.38327,-1.353,6.38846
2018-03-13,VIE.PA,1.14428,0.09537,-0.013,1.14413
2018-03-14,BKWB.S,4.95667,0.77159,,
2018-03-14,BYG.L,0.3864215,0.0059428,0.428,0.3880752
2018-03-14,EDP.LS,0.21436,0.01524,1.046,0.21661
2018-03-14,SASY.PA,5.49819,0.16466,-1.064,5.43968
2018-03-14,BYG.L,0.3864215,0.0059428,,
2018-03-14,EDP.LS,0.21436,0.01524,,
2018-03-15,AIR.PA,4.45382,0.37451,1.044,4.50031
2018-03-15,BKWB.S,,,2.914,5.10109
2018-03-15,HEIG.DE,5.67972,0.41059,-2.559,5.53438
2018-03-15,MWDP.PA1,,,36.717,2.80042
2018-03-15,UBSG.S,1.55417,0.12775,1.379,1.57559
2018-03-15,UMI.BR,1.39567,0.0725,0.651,1.40475
2018-03-16,ENEI.MI,0.35815,0.00846,1.034,0.36186
2018-03-16,LEGn.DE,5.27138,1.2583,-5.715,4.9701
2018-03-16,SAMPO.HE,0.62665,0.04266,1.033,0.63312
2018-03-16,SDR.L,0.3829173,0.0091781,0.169,0.3835635
2018-03-16,SFZN.S,1.6276,0.03821,,
2018-03-16,LEGn.DE,5.27138,1.2583,,
2018-03-17,SFZN.S,,,-2.499,1.58693
2018-03-18,PKO.WA,2.78547,0.12334,1.584,2.82961
2018-03-18,RACE.MI,3.03915,0.09564,1.457,3.08342
2018-03-18,SSE.L,,,0.503,1.169433
2018-03-18,SUBC.OL,0.64857,0.10065,2.683,0.66597
2018-03-19,ADSGn.DE,8.1099,0.2232,0.031,8.11243
2018-03-19,FORTUM.HE,0.88152,0.07674,1.106,0.89127
2018-03-19,GL9.I,1.04835,0.02117,-0.313,1.04508
2018-03-19,LGEN.L,0.2551311,0.026745,9.625,0.2796884
2018-03-19,LIGHT.AS,2.7737,0.33832,3.638,2.87461
2018-03-19,LIGHT.AS,2.7737,0.33832,,
2018-03-20,EXPN.L,0.9535,0.03434,0.036,0.95384
2018-03-20,HNRGn.DE,8.99326,0.84149,-1.0,8.9033
2018-03-20,MBGn.DE,9.42933,0.52046,1.378,9.55929
2018-03-20,PRU.L,2.16347,0.09447,1.054,2.18628
2018-03-20,SHLG.DE,1.502,0.032,0.004,1.50207
2018-03-20,TKAG.DE,1.51965,0.22063,1.888,1.54834
2018-03-20,HNRGn.DE,8.99326,0.84149,,
2018-03-21,ASRNL.AS,3.74665,0.44029,0.222,3.75496
2018-03-21,HNRGn.DE,,,-1.118,8.89269
2018-03-21,PRU.L,2.14114,0.08823,0.944,2.16134
2018-03-21,SDR.L,0.3831125,0.0091267,0.182,0.3838112
2018-03-22,ADSGn.DE,8.11503,0.21495,0.109,8.12389
2018-03-22,ASRNL.AS,3.74706,0.44026,0.367,3.7608
2018-03-22,GL9.I,1.04293,0.01783,-0.161,1.04125
2018-03-22,HEIG.DE,6.91364,0.47104,-3.86,6.64676
2018-03-22,HNRGn.DE,,,-1.13,8.89164
2018-03-22,MONC.MI,1.09374,0.05855,1.163,1.10646
2018-03-22,NSISb.CO,1.47277,0.07031,-1.081,1.45686
2018-03-22,PRU.L,2.16581,0.09031,0.645,2.17977
2018-03-22,RR.L,,,-48.966,0.0475633
2018-03-22,SASY.PA,5.48252,0.14769,-0.8,5.43866
2018-03-22,SFZN.S,1.5832,0.07167,-2.724,1.54008
2018-03-22,SSE.L,,,0.502,1.1694277
2018-03-22,UMI.BR,1.39188,0.06545,0.173,1.39429
2018-03-23,ADSGn.DE,8.12528,0.21873,0.064,8.13049
2018-03-23,AIR.PA,4.45096,0.37674,0.987,4.49492
2018-03-23,BKWB.S,4.7325,0.77283,-0.461,4.71068
2018-03-23,BYG.L,,,0.578,0.3886546
2018-03-23,ENEI.MI,0.40359,0.01072,0.234,0.40454
2018-03-23,HEIG.DE,6.92844,0.46127,-3.464,6.68842
2018-03-23,HNRGn.DE,8.96611,0.84541,-1.206,8.85794
2018-03-23,LIGHT.AS,,,3.678,2.87571
2018-03-23,MONC.MI,1.099,0.06064,0.912,1.10902
2018-03-23,PKO.WA,2.78495,0.12296,1.602,2.82955
2018-03-23,PRU.L,2.14957,0.08184,-0.402,2.14093
2018-03-23,RR.L,,,-48.976,0.0475544
2018-03-23,SAMPO.HE,0.62685,0.0426,0.991,0.63306
2018-03-23,SASY.PA,5.48508,0.1444,-0.804,5.44096
2018-03-23,SSE.L,1.1641835,0.0168671,0.569,1.1720443
2018-03-23,UBSG.S,1.54483,0.12607,1.303,1.56496
2018-03-23,ENEI.MI,0.40359,0.01072,,
2018-03-23,HNRGn.DE,8.96611,0.84541,,
2018-03-24,HNRGn.DE,,,-1.975,8.78901
2018-03-24,SAMPO.HE,0.62839,0.04308,0.895,0.63401
2018-03-24,SASY.PA,5.46074,0.12245,-0.365,5.44083
2018-03-24,TUI1n.DE,3.55089,0.18114,2.345,3.63418
2018-03-25,EDP.LS,,,0.204,0.2148
2018-03-25,EXPN.L,0.95338,0.03428,0.231,0.95558
2018-03-25,MWDP.PA1,,,133.849,4.79
2018-03-25,EXPN.L,0.95338,0.03428,,
2018-03-26,GBLB.BR,3.40875,0.72301,,
2018-03-26,ADSGn.DE,8.12832,0.22078,0.071,8.13412
2018-03-26,BIRG.I,0.62667,0.06451,1.208,0.63424
2018-03-26,GBLB.BR,3.40875,0.72301,9.774,3.74193
2018-03-26,HEIG.DE,6.9254,0.45342,-3.284,6.69797
2018-03-26,HIAB.HE,3.04008,0.24843,-2.95,2.95042
2018-03-26,LGEN.L,0.2555828,0.0274072,9.423,0.2796655
2018-03-26,NSISb.CO,1.46794,0.06518,-0.729,1.45723
2018-03-27,SSE.L,1.1646718,0.0168996,,
2018-03-27,AIR.PA,4.44775,0.37617,0.997,4.4921
2018-03-27,ASRNL.AS,3.78194,0.49952,2.82,3.8886
2018-03-27,BIRG.I,0.62478,0.06469,1.962,0.63703
2018-03-27,BKWB.S,4.4925,0.3594,-3.455,4.33728
2018-03-27,BMPS.MI,1.56278,1.04706,21.006,2.00056
2018-03-27,BYG.L,,,0.591,0.3887069
2018-03-27,EDP.LS,0.21436,0.01524,0.222,0.21484
2018-03-27,FORTUM.HE,0.886,0.07773,1.661,0.90072
2018-03-27,HEIG.DE,6.9238,0.45393,-3.238,6.6996
2018-03-27,HNRGn.DE,8.96374,0.8463,-2.09,8.77638
2018-03-27,LGEN.L,0.2577106,0.0283613,9.364,0.2818427
2018-03-27,LIGHT.AS,2.7647,0.32403,3.94,2.87364
2018-03-27,RR.L,0.0829977,0.0476336,-46.393,0.0444928
2018-03-27,SASY.PA,5.44552,0.127,-0.295,5.42948
2018-03-27,SSE.L,1.1646718,0.0168996,0.616,1.1731194
2018-03-27,UBSG.S,1.54919,0.12488,1.081,1.56593
2018-03-28,ADSGn.DE,8.11713,0.22205,0.127,8.12742
2018-03-28,ASRNL.AS,3.78547,0.49964,2.995,3.89883
2018-03-28,BYG.L,,,0.594,0.3887154
2018-03-28,ELI.BR,3.44608,0.08173,-0.943,3.41358
2018-03-28,EMSN.S,21.97775,0.38152,0.141,22.00865
2018-03-28,ENEI.MI,,,1.135,0.40817
2018-03-28,HNRGn.DE,8.96633,0.8452,-2.191,8.7699
2018-03-28,LGEN.L,0.2580567,0.027698,7.716,0.2779686
2018-03-28,LIGHT.AS,2.7657,0.32372,3.767,2.86988
2018-03-28,MONC.MI,1.10111,0.05994,0.671,1.10849
2018-03-28,PKO.WA,2.78811,0.12045,1.634,2.83365
2018-03-28,PRU.L,2.15703,0.0829,-0.538,2.14543
2018-03-28,SAF.PA,4.34745,0.28999,-1.133,4.29819
2018-03-28,SAMPO.HE,0.62729,0.04436,0.579,0.63092
2018-03-28,SDR.L,0.3841115,0.0088221,0.076,0.3844048
2018-03-28,SSE.L,,,0.651,1.1735271
2018-03-28,SUBC.OL,0.6382,0.10303,2.549,0.65447
2018-03-29,ENEI.MI,0.40363,0.0109,,
2018-03-29,RR.L,0.0817498,0.0484363,,
2018-03-29,SSE.L,1.1679641,0.0223336,,
2018-03-29,AIR.PA,4.45132,0.37618,1.141,4.50211
2018-03-29,BKWB.S,4.33667,0.27402,0.014,4.33729
2018-03-29,EMSN.S,21.98775,0.37353,0.014,21.99081
2018-03-29,ENEI.MI,0.40363,0.0109,1.119,0.40815
2018-03-29,GL9.I,1.03365,0.02476,-0.305,1.0305
2018-03-29,NSISb.CO,1.46806,0.06536,-0.739,1.45722
2018-03-29,PRU.L,2.14513,0.08244,-0.539,2.13358
2018-03-29,RR.L,0.0817498,0.0484363,-45.561,0.0445042
2018-03-29,SAF.PA,4.35645,0.28238,-1.443,4.29359
2018-03-29,SFZN.S,1.5612,0.06763,-1.55,1.53701
2018-03-29,SSE.L,1.1679641,0.0223336,0.938,1.1804006
2018-03-29,UMI.BR,1.39241,0.06571,0.202,1.39523
2018-03-29,VIE.PA,1.14389,0.09554,-0.278,1.14072
2018-03-30,ASRNL.AS,3.75081,0.49479,2.204,3.83349
2018-03-30,BYG.L,,,0.858,0.3897349
2018-03-30,HNRGn.DE,8.95581,0.8674,-2.26,8.75344
2018-03-30,MONC.MI,1.10005,0.0596,0.601,1.10667
2018-03-30,TEPRF.PA1,,,-1.438,6.38296
2018-03-31,TUI1n.DE,3.56719,0.18331,1.829,3.63248
2018-04-01,ENEI.MI,,,1.205,0.40849
2018-04-01,ITPG.MI,1.28,0.09274,-3.169,1.23944
2018-04-01,PKO.WA,2.80078,0.11074,1.176,2.83372
2018-04-02,AIR.PA,4.44668,0.32017,1.256,4.50251
2018-04-03,HIAB.HE,3.02675,0.24099,-2.675,2.9458
2018-04-03,PRU.L,2.13501,0.07751,-0.659,2.12095
2018-04-03,SAMPO.HE,0.62609,0.0447,0.31,0.62803
2018-04-03,UBSG.S,1.53109,0.12081,1.427,1.55293
2018-04-04,BIRG.I,0.63212,0.05883,0.802,0.63719
2018-04-04,ENEI.MI,,,1.207,0.4085
2018-04-04,EXPN.L,,,0.29,0.95615
2018-04-04,GBLB.BR,,,18.372,4.035
2018-04-04,HEIG.DE,6.89888,0.42605,-2.751,6.70909
2018-04-04,HIAB.HE,2.99092,0.27492,-3.597,2.88333
2018-04-04,LIGHT.AS,2.76609,0.30865,3.629,2.86648
2018-04-04,MONC.MI,1.10111,0.05976,0.643,1.10819
2018-04-04,SAMPO.HE,0.62489,0.04468,0.089,0.62545
2018-04-05,ADSGn.DE,8.1124,0.21566,0.136,8.12343
